1Attrition,2Education,4YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,1Education,7YearsInCurrentRole,1YearsSinceLastPromotion
1Attrition,2Education,0YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,4Education,7YearsInCurrentRole,3YearsSinceLastPromotion
0Attrition,1Education,2YearsInCurrentRole,2YearsSinceLastPromotion
0Attrition,2Education,7YearsInCurrentRole,3YearsSinceLastPromotion
0Attrition,3Education,0YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,1Education,0YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,3Education,7YearsInCurrentRole,1YearsSinceLastPromotion
0Attrition,3Education,7YearsInCurrentRole,7YearsSinceLastPromotion
0Attrition,3Education,4YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,2Education,5YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,1Education,2YearsInCurrentRole,4YearsSinceLastPromotion
0Attrition,2Education,2YearsInCurrentRole,1YearsSinceLastPromotion
1Attrition,3Education,2YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,4Education,9YearsInCurrentRole,8YearsSinceLastPromotion
0Attrition,2Education,2YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,2Education,0YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,4Education,8YearsInCurrentRole,3YearsSinceLastPromotion
0Attrition,3Education,2YearsInCurrentRole,1YearsSinceLastPromotion
0Attrition,2Education,2YearsInCurrentRole,1YearsSinceLastPromotion
1Attrition,4Education,3YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,4Education,6YearsInCurrentRole,2YearsSinceLastPromotion
0Attrition,2Education,0YearsInCurrentRole,0YearsSinceLastPromotion
1Attrition,1Education,2YearsInCurrentRole,1YearsSinceLastPromotion
0Attrition,3Education,13YearsInCurrentRole,4YearsSinceLastPromotion
1Attrition,1Education,2YearsInCurrentRole,6YearsSinceLastPromotion
0Attrition,4Education,7YearsInCurrentRole,4YearsSinceLastPromotion
0Attrition,4Education,6YearsInCurrentRole,5YearsSinceLastPromotion
0Attrition,4Education,2YearsInCurrentRole,2YearsSinceLastPromotion
0Attrition,3Education,1YearsInCurrentRole,0YearsSinceLastPromotion
0Attrition,4Education,2YearsInCurrentRole,1YearsSinceLastPromotion
